  PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   1589 henrik    20   0  280608  42780  36512 S   0.0   0.3   0:02.97 kglobalaccel5
   1615 henrik    20   0  284632  46884  41000 S   0.0   0.3   0:03.66 ksmserver
   1619 henrik    20   0    9464   3832   3496 S   0.0   0.0   0:00.00 xsettingsd
   1633 henrik    20   0  890388  98504  78568 S   0.0   0.6   0:02.86 polkit-kde-auth
   1635 henrik    20   0  235600  25276  20532 S   0.0   0.2   0:02.60 xembedsniproxy
   1638 henrik    20   0  280572  42132  37032 S   0.0   0.3   0:04.16 kaccess
   1644 henrik    20   0 2379928 251316 131032 S   0.0   1.6   0:53.73 plasmashell
   1653 henrik    20   0  361304  49308  43008 S   0.0   0.3   0:04.38 kdeconnectd
   1657 henrik    20   0  234388  23920  21208 S   0.0   0.1   0:02.55 gmenudbusmenupr
   1662 henrik    20   0  370008  51848  43648 S   0.0   0.3   0:05.01 DiscoverNotifie
   1702 root      20   0  363936  32488  18092 S   0.0   0.2   0:25.74 packagekitd
   1712 henrik    20   0  315280  59720  52808 S   0.0   0.4   0:03.37 korgac
   1722 henrik    20   0   45100   6720   6076 S   0.0   0.0   0:00.00 obexd
   1723 henrik    20   0  226840  21712  19044 S   0.0   0.1   0:02.97 kscreen_backend
   1725 root      10 -10       0      0      0 S   0.0   0.0   0:00.00 krfcommd
   1745 henrik    20   0 1050260 117496  89324 S   0.0   0.7   0:24.24 konsole
   1758 henrik    20   0  234028   4664   4228 S   0.0   0.0   0:00.00 agent
   1770 henrik    20   0 1258748 101164  46168 S   0.0   0.6   0:15.10 ulauncher
   1791 henrik    20   0 1152580  52540  43680 S   0.0   0.3   0:21.11 org_kde_powerde
   1872 henrik    20   0   16748  11032   5800 S   0.0   0.1   0:01.89 zsh
   1902 henrik    20   0    5964   2744   2268 S   0.0   0.0   0:00.46 ssh-agent
   1959 henrik    20   0  166688  65916  24720 S   0.0   0.4   0:00.80 python3
   1961 henrik    20   0  168212  67536  26660 S   0.0   0.4   0:00.85 python3
   1963 henrik    20   0  167856  67396  25112 S   0.0   0.4   0:00.84 python3
   1965 henrik    20   0  167432  65524  24968 S   0.0   0.4   0:00.84 python3
   1975 henrik    20   0  167116  65576  24848 S   0.0   0.4   0:00.78 python3
   2469 henrik    20   0  111224  17232  13500 S   0.0   0.1   0:00.10 file.so
   6407 root      20   0 2197216 102616  52396 S   0.0   0.6   0:07.05 dockerd
   6425 root      20   0  711448  15936   6292 S   0.0   0.1   0:00.81 containerd-shim
   6444 root      20   0  769892  53744  31636 S   0.0   0.3   0:01.95 docker-driver
  21058 root      20   0       0      0      0 I   0.0   0.0   0:01.96 kworker/u16:3-i915
  23682 root      20   0       0      0      0 I   0.0   0.0   0:02.04 kworker/1:1-events
  23741 root      20   0   24412   5240   1780 S   0.0   0.0   0:00.03 systemd-udevd
  23747 root      20   0   24280   5196   1780 S   0.0   0.0   0:09.77 systemd-udevd
  24102 root      20   0       0      0      0 I   0.0   0.0   0:01.63 kworker/u16:0-kec
  24507 root      20   0       0      0      0 I   0.0   0.0   0:09.14 kworker/0:0-events
  25658 root      20   0       0      0      0 I   0.0   0.0   0:01.13 kworker/u16:4-flush-259:0
  25674 root      20   0   24280   5176   1764 S   0.0   0.0   0:00.10 systemd-udevd
  25675 root      20   0   24280   5184   1772 S   0.0   0.0   0:11.86 systemd-udevd
  26809 root      20   0   24280   5192   1780 S   0.0   0.0   0:00.00 systemd-udevd
  26815 root      20   0   24280   5120   1712 S   0.0   0.0   0:00.00 systemd-udevd
  27732 root      20   0       0      0      0 I   0.0   0.0   0:00.54 kworker/3:2-events
  28025 root      20   0 1148652  13816   2876 S   0.0   0.1   0:00.00 docker-proxy
